|    ID | Nome (técnica)             | Descrição (aplicada ao caso)                                                                   | Correção Recomendada                                                                                              |
| ----: | -------------------------- | ---------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------- |
| T1020 | Automated Exfiltration     | Dados foram fragmentados e exfiltrados automaticamente em lotes pequenos para evitar detecção. | Detectar padrões de exfiltração em série, limitar taxa de uploads e aplicar DLP avançado.                         |
| T1008 | Fallback Channels          | Canais alternativos foram preparados para manter exfiltração caso o principal fosse bloqueado. | Monitorar e bloquear canais não autorizados, aplicar listas de permissões e inspeção de tráfego.                  |
| T1001 | Data Obfuscation           | Dados foram ofuscados e empacotados para evitar assinaturas simples em inspeções.              | Inspeção profunda de conteúdo, análise de comportamento e análise de entropia de payloads.                        |
| T1561 | Disk Wipe                  | Rotinas de limpeza foram preparadas para apagar discos caso o atacante detectasse resposta.    | Implementar backups imutáveis, isolamento de armazenamento sensível e detecção de operações de wipe.              |
| T1485 | Data Destruction           | Componentes de destruição foram usados para comprometer a integridade dos dados locais.        | Habilitar controles de recuperação, recuperação de emergência e segmentação de acesso a discos críticos.          |
| T1104 | Multi-Stage Channels       | Comunicação de C2/exfiltração ocorreu em múltiplas etapas encadeadas.                          | Monitorar fluxos multi-stage, correlacionar eventos e bloquear canais que apresentem etapas encadeadas suspeitas. |
| T1573 | Encrypted Channel          | Canais encriptados foram utilizados para esconder o conteúdo exfiltrado.                       | TLS inspection onde legalmente permitido, análise de metadados e heurísticas de comportamento.                    |
| T1090 | Proxy                      | Uso de proxies intermediários camuflou a origem do tráfego.                                    | Bloquear uso de proxies não aprovados e monitorar conexões que fazem proxying dinâmico.                           |
| T1490 | Inhibit System Recovery    | Tentativas de impedir recuperação foram feitas modificando restaurações e snapshots.           | Proteger e isolar sistemas de recuperação, impedir remoção de snapshots sem autorização.                          |
| T1499 | Endpoint Denial of Service | Em alguns endpoints, ações levaram a negação parcial de serviço após manipulações maliciosas.  | Monitorar disponibilidade, limitar ações destrutivas e aplicar controles de rate limiting.                        |
