| ID    | Nome                          | Descrição                                                                                                                      | Correção                                                                                                                                                      |
| ----- | ----------------------------- | ------------------------------------------------------------------------------------------------------------------------------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| T1090 | Proxy                         | O canal de C2 foi estabelecido usando um domínio CDN como proxy, mascarando a origem real da comunicação.                      | Implementar TLS inspection com SNI filtering, bloquear domínios de CDN não autorizados e registrar todas conexões saindo por 443 com destino não corporativo. |
| T1095 | Non-Standard Port             | A comunicação C2 utilizou a porta 443 para tráfego não-HTTPS real, evitando bloqueios por firewall.                            | Monitorar uso de portas padrão (443, 80, etc.) com conteúdo que não corresponde ao protocolo esperado.                                                        |
| T1091 | Domain Fronting               | A técnica de domain fronting foi usada para mascarar conexões maliciosas como se fossem destinadas a serviços legítimos.       | Aplicar bloqueio de domínios com base em cabeçalhos inconsistentes e restringir navegação a domínios explicitamente permitidos.                               |
| T1001 | Data Obfuscation              | O conteúdo C2 foi codificado (base64) e comprimido antes da criptografia.                                                      | Inspecionar conteúdo de pacotes mesmo em canais criptografados com TLS interceptado e alertar sobre padrões de codificação excessiva.                         |
| T1008 | Fallback Channels             | O agente C2 tinha múltiplos métodos de comunicação para manter acesso caso um fosse bloqueado.                                 | Monitorar persistência de agentes em diferentes protocolos e aplicar segmentação de rede para impedir múltiplas rotas de exfiltração.                         |
| T1023 | Custom Cryptographic Protocol | A comunicação foi protegida por uma camada criptográfica não padrão, impedindo análise de conteúdo mesmo com TLS interceptado. | Bloquear comunicações com protocolos não reconhecidos em canais criptografados e alertar sobre uso de bibliotecas criptográficas customizadas.                |
| T1053 | Scheduled Task/Job            | O agente malicioso era executado a cada 15 minutos via tarefa agendada com privilégio de SYSTEM.                               | Monitorar criação de tarefas agendadas suspeitas, especialmente com execuções frequentes e contas privilegiadas.                                              |
| T1550 | Pass the Hash                 | O atacante usou hashes NTLM para se autenticar em outros sistemas sem precisar das senhas em texto claro.                      | Ativar autenticação restrita, aplicar LAPS para senhas locais e monitorar uso de NTLM entre sistemas internos.                                                |
| T1119 | Automated Collection          | O agente fazia extração automática de arquivos sensíveis da pasta de usuários e os enviava ao servidor C2.                     | Monitorar movimentações não autorizadas de arquivos locais e aplicar DLP para detecção de exfiltração por agentes internos.                                   |
| T1073 | DLL Side-Loading              | O atacante carregou uma DLL maliciosa com nome legítimo aproveitando a ordem de busca padrão do sistema                        |                                                                                                                                                               |
