|    ID | Nome (técnica)                   | Descrição (aplicada ao caso)                                                                            | Correção Recomendada                                                                                         |
| ----: | -------------------------------- | ------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------ |
| T1131 | Authentication Package           | Componentes de autenticação foram manipulados para permitir credenciais maliciosas serem aceitas.       | Validar integridade de pacotes de autenticação, exigir assinaturas e auditar mudanças.                       |
| T1164 | Re-opened Applications           | Aplicações críticas eram reabertas com parâmetros que introduziam código malicioso.                     | Monitorar flags de inicialização, auditar processos parent e restringir alterações em launch da aplicação.   |
| T1215 | Kernel Modules and Extensions    | Módulos do kernel foram alterados para inserir lógica de persistência profunda.                         | Bloquear carregamento de módulos não assinados, usar attestation e EDR com cobertura kernel-mode.            |
| T1198 | SIP and Trust Provider Hijacking | Provedores de confiança e serviços de comunicação foram redirecionados para componentes maliciosos.     | Inventariar trust providers, proteger configurações SIP e revisar certificados/configs de trust.             |
| T1622 | Debugger Evasion                 | Técnicas foram usadas para inibir análise via depuradores e dificultar engenharia reversa.              | Fornecer ambientes de análise diversificados, detectar anti-debugging e utilizar sandboxes especializadas.   |
| T1593 | Search Open Websites/Domains     | Pesquisa de superfície pública auxiliou na identificação de serviços com configurações padrão.          | Inventariar exposição pública e aplicar proteções (auth/WAF) em portas administrativas.                      |
| T1659 | Content Injection                | Pontos de entrada permitiram injetar conteúdo que facilitou a substituição de módulos.                  | Validar integridade de conteúdo, aplicar revisão de código e CSP/validations em aplicações web.              |
| T1064 | Scripting                        | Scripts foram usados para automatizar a substituição de módulos e a reinfestação.                       | Restringir execução de scripts em produção, aplicar whitelisting e monitorar execução de scripts.            |
| T1054 | Indicator Blocking               | Indicadores de comprometimento foram modificados para reduzir visibilidade em ferramentas de segurança. | Monitorar alterações em sensores, usar canais redundantes de telemetria e alertar em quedas de visibilidade. |
| T1105 | Ingress Tool Transfer            | Ferramentas necessárias para manter o controle foram carregadas a partir de servidores externos.        | Bloquear e auditar downloads, verificar checksums e exigir repositórios autorizados.                         |
