|    ID | Nome (técnica)              | Descrição (aplicada ao caso)                                                                                                | Correção Recomendada                                                                                                                               |
| ----: | --------------------------- | --------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------- |
| T1675 | ESXi Administration Command | Comandos administrativos contra a plataforma de virtualização foram usados para gerir e manter o agente nos hosts virtuais. | Restringir contas administrativas de hipervisor, habilitar logs de administração do ESXi e usar autenticação forte para consoles de administração. |
| T1583 | Acquire Infrastructure      | O atacante provisionou infraestrutura de apoio externa para controle e transferência de artefatos.                          | Inventariar e bloquear infraestrutura não autorizada, usar listas de permissões de IP e monitorar comunicações para hosts externos.                |
| T1219 | Remote Access Tools         | Ferramentas de acesso remoto foram implantadas para manter controle interativo sobre hosts cruciais.                        | Proibir instalação de ferramentas não aprovadas, monitorar processos de acesso remoto e usar MFA para sessões administrativas.                     |
| T1153 | Source                      | Artefatos e scripts de origem encontrados em repositórios facilitaram a implantação de cargas maliciosas.                   | Controlar repositórios, assinar artefatos de build e validar origem de componentes antes de implantá-los.                                          |
| T1151 | Space after Filename        | Nomes de arquivo com caracteres e espaços foram usados para enganar verificações e permitir persistência.                   | Normalizar validação de nomes de arquivos, rejeitar entradas com espaços ou caracteres especiais e usar validação de upload no servidor.           |
| T1595 | Active Scanning             | Varreduras internas foram realizadas para mapear serviços e portas disponíveis.                                             | Monitorar e alertar sobre padrões de scanning, limitar permissões de scanning a ferramentas de TI autorizadas.                                     |
| T1133 | External Remote Services    | Serviços remotos expostos permitiram o vetor inicial de acesso administrativo.                                              | Minimizar exposição de serviços administrativos, aplicar VPN/zero-trust e expor consoles apenas a redes gerenciadas.                               |
| T1118 | InstallUtil                 | Utilitários nativos de instalação foram reutilizados para instalar componentes como se fossem legítimos.                    | Restringir o uso de utilitários de instalação por política, monitorar chamadas a esses utilitários e bloquear uso por contas não autorizadas.      |
| T1599 | Network Boundary Bridging   | O atacante criou pontes que conectaram segmentos separados, ampliando o alcance do ataque.                                  | Aplicar segmentação de rede rígida, firewalling entre zonas e inspeção de tráfego inter-zonas.                                                     |
| T1674 | Input Injection             | Fragmentos de entrada malformada foram usados em interfaces administrativas para forçar comportamento de upload.            | Validar rigorosamente entradas das interfaces de administração e aplicar saneamento/whitelisting.                                                  |
