|    ID | Nome (técnica)                      | Descrição (aplicada ao caso)                                                                                          | Correção Recomendada                                                                                           |
| ----: | ----------------------------------- | --------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------- |
| T1013 | Port Monitors                       | Módulos que vinculam dispositivos físicos foram manipulados para executar código ao ocorrer atividade de dispositivo. | Restringir instalação de port monitors, validar assinaturas e auditar alterações em drivers de dispositivo.    |
| T1062 | Hypervisor                          | Componentes de virtualização foram alvo para persistência e para implantarem imagens comprometidas.                   | Segregar gestão do hypervisor, aplicar patches e usar hardening/monitoring específico de hipervisores.         |
| T1525 | Implant Internal Image              | Imagens internas foram modificadas para já incluir payloads na inicialização das VMs.                                 | Assinar imagens, controlar pipelines de build e reprovisionar com imagens limpas.                              |
| T1131 | Authentication Package              | Pacotes de autenticação foram alterados para reativar backdoors de login.                                             | Proteger módulos de autenticação, auditar pacotes e exigir assinaturas para módulos críticos.                  |
| T1166 | Setuid and Setgid                   | Permissões de binários foram ajustadas para dar execução privilegiada a componentes maliciosos.                       | Verificar e restaurar permissões, aplicar políticas de least privilege e monitorar mudanças em bits SUID/SGID. |
| T1108 | Redundant Access                    | Mecanismos alternativos foram preparados para restabelecer acesso caso o vetor principal fosse removido.              | Remover caminhos redundantes, auditar mecanismos de inicialização e monitorar tentativas de reinstalação.      |
| T1090 | Proxy                               | O invasor utilizou proxies internos para ocultar origem e movimentar dados entre zonas.                               | Restringir e auditar proxies, aplicar listas de permissão e monitorar conexões via proxy.                      |
| T1005 | Data from Local System              | Dados e artefatos locais das VMs foram coletados para apoiar persistência.                                            | Limitar permissões de leitura, aplicar DLP e criptografia em dados sensíveis.                                  |
| T1054 | Indicator Blocking                  | Artefatos de segurança foram manipulados para reduzir visibilidade de atividades maliciosas.                          | Harden EDR/antimalware, prevenir desabilitação de sensores e alertar em mudanças de estado.                    |
| T1578 | Modify Cloud Compute Infrastructure | Alterações na infraestrutura de computação foram realizadas para manter controle.                                     | Implementar controles de mudança, RBAC e revisão de alterações por pessoas e scripts.                          |
