|    ID | Nome (técnica)                    | Descrição (aplicada ao caso)                                                                             | Correção Recomendada                                                                                                      |
| ----: | --------------------------------- | -------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------- |
| T1061 | Graphical User Interface          | Componente malicioso foi integrado à interface gráfica para interceptar interações específicas.          | Auditar e controlar bibliotecas de UI, usar assinaturas digitais e bloquear installs não autorizados.                     |
| T1154 | Trap                              | Mecanismo foi deixado com comportamento ativado apenas em condições específicas para atrapalhar análise. | Coletar memória e logs antes de reiniciar hosts, validar integridade de binários e isolar hosts suspeitos.                |
| T1164 | Re-opened Applications            | Aplicações foram configuradas para reabrir com a carga maliciosa ao iniciar sessão.                      | Restringir itens de inicialização do usuário, auditar alterações em perfis e bloquear execução de binários não assinados. |
| T1215 | Kernel Modules and Extensions     | Foram observadas tentativas de persistência em níveis profundos do sistema para reativar o componente.   | Bloquear carregamento de módulos não assinados, aplicar validação de integridade do kernel e monitorar carregamentos.     |
| T1038 | DLL Search Order Hijacking        | O binário legítimo carregou uma biblioteca localizada em caminho preferencial contendo código malicioso. | Fixar caminhos absolutos, restringir gravação em diretórios de sistema e validar assinaturas de DLLs.                     |
| T1595 | Active Scanning                   | Varreduras internas e sondagens detectaram serviços e portas vulneráveis que auxiliaram a exploração.    | Implementar detecção de scanning, alertas e rate-limiting; segregar ferramentas de inventário.                            |
| T1190 | Exploit Public-Facing Application | Uma funcionalidade exposta permitiu a instalação inicial de componentes maliciosos.                      | Aplicar correções, limitar exposição e habilitar WAF nas interfaces públicas.                                             |
| T1105 | Ingress Tool Transfer             | Ferramentas maliciosas foram transferidas para hosts internos por canais aparentemente legítimos.        | Bloquear downloads não autorizados, usar proxy com inspeção e controlar repositórios de pacotes.                          |
| T1078 | Valid Accounts                    | Contas válidas foram usadas para instalar componentes sem gerar alertas de autenticação.                 | Rotacionar credenciais, aplicar MFA e restringir privilégios de contas de serviço.                                        |
| T1546 | Event Triggered Execution         | Eventos do sistema foram abusados para reativar o componente após tentativas de remoção.                 | Auditar handlers de eventos, proteger registros de eventos e alertar para alterações inesperadas.                         |
