|    ID | Nome (técnica)                             | Descrição (aplicada ao caso)                                                                                                  | Correção Recomendada                                                                                                |
| ----: | ------------------------------------------ | ----------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------- |
| T1038 | DLL Search Order Hijacking                 | Bibliotecas maliciosas foram colocadas em locais priorizados de busca, levando o processo legítimo a carregar código adverso. | Usar caminhos absolutos em loads, restrições de gravação em diretórios de sistema e verificar assinaturas digitais. |
| T1162 | Login Item                                 | Em estações, entradas de login foram criadas para reiniciar o agente malicioso a cada sessão de usuário.                      | Restringir criação de itens de login, auditar mudanças e usar controles de integridade em perfis de usuário.        |
| T1004 | Winlogon Helper DLL                        | Em sistemas Windows, helpers de logon foram abusados para execução persistente durante processos de autenticação.             | Restringir modificações em chaves de Winlogon, monitorar mudanças e exigir assinaturas.                             |
| T1122 | Component Object Model Hijacking           | Componentes COM foram substituídos ou manipulados para desviar execução para módulos maliciosos.                              | Habilitar proteção de integridade para componentes COM e monitorar registros de COM/CLSID.                          |
| T1207 | Rogue Domain Controller                    | Um controlador de domínio forjado foi levantado em segmento de teste para interceptar autenticações.                          | Segmentar rede, restringir DNS/LDAP públicos e validar controladores de domínio via inventário e assinaturas.       |
| T1546 | Event Triggered Execution                  | Eventos do sistema foram usados para acionar reinstalação do agente quando removido.                                          | Auditar e proteger handlers de eventos críticos e restringir alterações em rotinas de inicialização.                |
| T1190 | Exploit Public-Facing Application          | Um serviço exposto foi explorado para permitir a colocação inicial do agente nas máquinas.                                    | Aplicar patch, limitar exposição e exigir autenticação forte em interfaces públicas.                                |
| T1105 | Ingress Tool Transfer                      | Ferramentas e artefatos foram transferidos para o ambiente a partir de infraestrutura externa.                                | Bloquear downloads não autorizados, controlos de proxy/filtragem e verificar checksums de binários.                 |
| T1649 | Steal or Forge Authentication Certificates | Certificados foram clonados para permitir autenticação de componentes maliciosos.                                             | Proteger chaves em HSM/Key Vault, auditar uso e revogar certificados comprometidos.                                 |
| T1151 | Space after Filename                       | Nomes de arquivos manipulados permitiram bypass de verificações simples em rotinas de validação.                              | Normalizar e validar nomes de arquivo, rejeitar inputs com caracteres inválidos.                                    |
