| ID    | Nome                               | Descrição                                                                                                                        | Correção                                                                                                                                  |
| ----- | ---------------------------------- | -------------------------------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------- |
| T1036 | Masquerading                       | O payload foi gerado com Veil-Evasion, mascarando seu nome e estrutura para parecer legítimo e evitar detecção.                  | Implementar análise de comportamento de processos e validar hashes de executáveis contra listas de referência confiáveis.                 |
| T1027 | Software Packing                   | O binário malicioso foi empacotado para impedir análise estática e reduzir chances de detecção por antivírus.                    | Utilizar soluções EDR que façam análise de entropia e executem desempacotamento automático para sandbox.                                  |
| T1480 | Execution Guardrails               | O payload exigia interação do usuário e espera de tempo para ser executado, reduzindo chances de execução em sandbox automática. | Monitorar macros com atrasos de execução e uso de timers ou condições específicas.                                                        |
| T1218 | System Binary Proxy Execution      | O uso do regsvr32.exe permitiu carregar DLLs maliciosas, contornando restrições de execução direta.                              | Monitorar uso anômalo de binários do sistema e bloquear uso de regsvr32 por usuários comuns via GPO.                                      |
| T1562 | Impair Defenses                    | O payload desativou o Windows Defender para evitar detecção após execução inicial.                                               | Bloquear comandos administrativos para contas não privilegiadas e auditar eventos relacionados a alterações de proteção em tempo real.    |
| T1547 | Registry Run Keys / Startup Folder | Persistência foi garantida adicionando o agente malicioso na chave Run do registro.                                              | Monitorar alterações em chaves de inicialização e restringir gravações não autorizadas no registro por usuários comuns.                   |
| T1552 | Unsecured Credentials              | Arquivos contendo credenciais foram encontrados sem proteção na área de trabalho do usuário.                                     | Implementar políticas de DLP e scripts de verificação periódica em diretórios de usuários.                                                |
| T1021 | Remote Desktop Protocol            | O atacante usou RDP com credenciais obtidas em arquivos locais para acessar outras máquinas da rede.                             | Ativar autenticação com MFA no RDP, limitar conexões remotas apenas a contas administrativas e segmentar o acesso via firewall interno.   |
| T1074 | Data Staged                        | Os arquivos exfiltrados foram compactados e armazenados localmente antes do envio.                                               | Monitorar movimentações e compressões de arquivos em diretórios temporários e sensíveis.                                                  |
| T1566 | Phishing                           | O payload foi entregue via documento malicioso com macro, enviado por e-mail para um usuário específico.                         | Implementar sandbox de pré-execução para anexos, validação de remetentes externos e campanhas de conscientização sobre engenharia social. |
