|    ID | Nome (técnica)                         | Descrição (aplicada ao caso)                                                                                  | Correção Recomendada                                                                                            |
| ----: | -------------------------------------- | ------------------------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------------- |
| T1482 | Domain Trust Discovery                 | O invasor enumerou relações de confiança entre domínios para identificar possíveis caminhos de escalonamento. | Restringir trusts, revisar relacionamentos entre domínios e monitorar consultas incomuns a controladores.       |
| T1049 | System Network Connections Discovery   | Foram mapeadas conexões de rede locais e remotas para descobrir potenciais alvos.                             | Monitorar e limitar exposições de serviços, usar firewalls com regras de egress control.                        |
| T1018 | Remote System Discovery                | Identificados sistemas remotos acessíveis para pivot e futuro comprometimento.                                | Implementar lista de permissões para acesso remoto e logar/alertar tentativas de descoberta massiva.            |
| T1016 | System Network Configuration Discovery | Configurações de rede foram coletadas para identificar roteadores, sub-redes e gateways críticos.             | Restringir acesso a interfaces de configuração e auditar acessos administrativos.                               |
| T1201 | Password Policy Discovery              | O atacante checou políticas de senha para identificar contas com senhas fracas ou sem rotação.                | Endurecer políticas de senha, aplicar rotação e exigir MFA em contas sensíveis.                                 |
| T1068 | Exploitation for Privilege Escalation  | Vulnerabilidades locais foram exploradas para elevar privilégios em hosts comprometidos.                      | Aplicar patches, reduzir superfície de ataque e usar mitigations para elevação local.                           |
| T1098 | Account Manipulation                   | Contas foram modificadas para conceder privilégios adicionais e criar backdoors administrativos.              | Monitorar mudanças em grupos de privilégios, exigir autorização e registrar auditorias.                         |
| T1548 | Abuse Elevation Control Mechanism      | Mecanismos legítimos de elevação foram abusados para executar ações com privilégios elevados.                 | Bloquear abusos via políticas de execução, restringir prompts de elevação e controlar aplicação de privilégios. |
| T1037 | Boot or Logon Initialization Scripts   | Scripts de inicialização foram alterados para reativar componentes maliciosos após reinicialização.           | Proteger scripts de inicialização, verificar assinaturas e monitorar alterações em boot scripts.                |
| T1168 | Local Job Scheduling                   | Jobs locais foram criados/alterados para manter tarefas agendadas com privilégios elevados.                   | Auditar tarefas agendadas, restringir criação a administradores e alertar para alterações não planejadas.       |
