| ID    | Nome                              | Descrição                                                                                                        | Correção                                                                                       |
| ----- | --------------------------------- | ---------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------- |
| T1595 | Active Scanning                   | Foi realizado um escaneamento de portas e serviços para identificar o ambiente exposto.                          | Restringir varreduras externas com firewall e limitar banners de serviços.                     |
| T1590 | Gather Victim Network Information | Identificou-se um domínio alternativo no conteúdo da aplicação.                                                  | Evitar exposição de informações de configuração e nomes internos em páginas públicas.          |
| T1596 | Search Victim-Owned Websites      | O arquivo robots.txt revelou rotas sensíveis acessíveis publicamente.                                            | Restringir a divulgação de caminhos internos em arquivos públicos e implementar autenticação.  |
| T1190 | Exploit Public-Facing Application | A vulnerabilidade LFI foi explorada para ler arquivos sensíveis do sistema.                                      | Validar entradas do usuário e restringir acesso a arquivos fora do diretório da aplicação.     |
| T1059 | Command and Scripting Interpreter | Comandos remotos foram executados via payload injetado em logs e executado por PHP.                              | Sanitizar entradas em logs e desabilitar funções perigosas no PHP.                             |
| T1053 | Scheduled Task/Job                | O atacante utilizou um script em cron para manter persistência no ambiente.                                      | Monitorar alterações em cronjobs e aplicar controle de integridade.                            |
| T1574 | Hijack Execution Flow             | Manipulação do PATH foi utilizada para substituir o comando cp e executar código com privilégios de root.        | Utilizar caminhos absolutos em scripts executados como root e monitorar variáveis de ambiente. |
| T1003 | OS Credential Dumping             | Leitura de /etc/passwd permitiu identificar usuários locais do sistema.                                          | Restringir permissões de leitura de arquivos críticos e aplicar segmentação por privilégios.   |
| T1027 | Obfuscated Files or Information   | O atacante utilizou codificação base64 e caminhos duplos para evadir filtros e restrições do servidor.           | Implementar detecção de padrões de obfuscação e filtros de entrada mais robustos.              |
| T1496 | Resource Hijacking                | O ambiente foi utilizado para executar código remoto e hospedar payloads, comprometendo os recursos do servidor. | Implementar monitoramento de execução de processos e uso de rede anômalo.                      |
