| ID    | Nome                                  | Descrição                                                                                                                                                | Correção                                                                                                                                                               |
| ----- | ------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| T1595 | Active Scanning                       | Foram realizadas varreduras externas com ferramentas como nmap e ffuf para identificar portas abertas, serviços expostos e diretórios acessíveis.        | Implementar regras de firewall para limitar a exposição de serviços, monitorar varreduras externas e utilizar ferramentas de detecção de scan e comportamento anômalo. |
| T1059 | Command and Scripting Interpreter     | O atacante utilizou scripts e payloads automatizados, incluindo execução de comandos remotos via Meterpreter e Rubeus em estações Windows comprometidas. | Restringir execução de binários não assinados, aplicar políticas de execução via GPO, e empregar soluções EDR com controle de execução baseado em reputação.           |
| T1190 | Exploit Public-Facing Application     | Uma falha de content injection em um painel exposto foi explorada para realizar phishing e entrega de payloads.                                          | Corrigir vulnerabilidades de injeção, aplicar cabeçalhos de segurança e validar sanitização de entrada/saída em todos os campos da aplicação.                          |
| T1566 | Phishing for Information              | O payload foi entregue por engenharia social, induzindo um colaborador a executar um arquivo malicioso.                                                  | Conduzir treinamentos de conscientização, aplicar filtros de e-mail e restringir execução de arquivos recebidos via rede ou e-mail.                                    |
| T1105 | Ingress Tool Transfer                 | Um dropper foi entregue à vítima para estabelecer conexão reversa com o servidor de comando e controle.                                                  | Bloquear transferência de binários suspeitos na rede, utilizar proxy com inspeção TLS e aplicar monitoramento de conexões saindo para IPs ou domínios não autorizados. |
| T1071 | Application Layer Protocol            | A comunicação com o servidor de C2 foi realizada via protocolo HTTPS encapsulado.                                                                        | Monitorar conexões HTTPS saindo da rede com inspeção de payloads (SSL Inspection), utilizar whitelists e segmentar acesso à internet por função.                       |
| T1558 | Steal or Forge Kerberos Tickets       | Após comprometer uma máquina, foi realizada a coleta de hashes de tickets de serviço Kerberos (Kerberoasting) usando a ferramenta Rubeus.                | Restringir delegações desnecessárias, usar contas de serviço com senhas longas e complexas e monitorar requisições anômalas de tickets.                                |
| T1210 | Exploitation of Remote Services       | Após a coleta de credenciais privilegiadas, o atacante acessou outra máquina da rede por meio de execução remota com privilégio de administrador local.  | Restringir acesso remoto entre máquinas, aplicar segmentação de rede e usar autenticação multifator para contas administrativas.                                       |
| T1068 | Exploitation for Privilege Escalation | A execução de comandos administrativos locais foi possível após escalada de privilégios, permitindo controle total da máquina comprometida.              | Corrigir falhas de permissão, aplicar o princípio do menor privilégio e utilizar ferramentas que alertem sobre uso indevido de contas administrativas locais.          |
