| ID    | Nome                                   | Descrição                                                                                                                 | Correção                                                                                                                                        |
| ----- | -------------------------------------- | ------------------------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------- |
| T1055 | Process Injection                      | A DLL maliciosa foi injetada e executada via rundll32, incorporando código externo ao processo legítimo do sistema.       | Monitorar execução de rundll32 com argumentos incomuns, implementar EDRs com bloqueio de execução arbitrária de DLLs.                           |
| T1546 | AppInit DLLs                           | A chave AppInit_DLLs foi usada para inicializar a DLL maliciosa em novos processos com GUI.                               | Desabilitar o uso da chave AppInit_DLLs se não necessário, aplicar política de integridade de código (AppLocker).                               |
| T1574 | DLL Search Order Hijacking             | Foi usada uma DLL com nome semelhante a uma legítima, abusando da ordem de busca do Windows.                              | Validar assinatura digital de DLLs críticas, configurar paths absolutos em serviços e binários sensíveis.                                       |
| T1183 | Image File Execution Options Injection | O atacante modificou o registro para associar um binário do sistema (utilman.exe) ao seu payload malicioso.               | Monitorar alterações em IFEO via logs de integridade, restringir permissões de modificação no registro.                                         |
| T1218 | Rundll32                               | Executou diretamente a DLL maliciosa utilizando a ferramenta legítima rundll32.                                           | Restringir execução de ferramentas living-off-the-land (LOLBins), aplicar monitoramento de chamadas suspeitas com parâmetros anômalos.          |
| T1036 | Masquerading                           | A DLL foi nomeada de forma semelhante a outra legítima (logonui.dll) para se esconder no sistema.                         | Usar antivírus com verificação baseada em comportamento e não apenas em nome de arquivos.                                                       |
| T1070 | Indicator Removal on Host              | Atribuiu atributos de sistema e oculto à DLL maliciosa para dificultar sua identificação.                                 | Monitorar alterações de atributos em diretórios críticos, aplicar políticas de detecção baseadas em acesso a APIs como attrib.exe.              |
| T1518 | Software Discovery                     | Foi realizada enumeração dos softwares ativos e serviços instalados com tasklist e reg query.                             | Restringir acesso a ferramentas administrativas para contas não autorizadas e limitar execução de comandos administrativos por usuários comuns. |
| T1057 | Process Discovery                      | A enumeração de processos ativos permitiu identificar serviços vulneráveis que poderiam ser utilizados para persistência. | Implementar monitoramento de processos e políticas de alerta para execução fora de padrão.                                                      |
| T1041 | Exfiltration Over C2 Channel           | Dados internos foram compactados e enviados pelo canal reverso do meterpreter.                                            | Monitorar conexões de saída incomuns e uso de ferramentas como compact fora de horários operacionais.                                           |
