|    ID | Nome (técnica)                     | Descrição (aplicada ao caso)                                                                                 | Correção Recomendada                                                                                          |
| ----: | ---------------------------------- | ------------------------------------------------------------------------------------------------------------ | ------------------------------------------------------------------------------------------------------------- |
| T1534 | Internal Spearphishing             | Mensagens internas foram usadas para enganar operadores e obter credenciais ou acionar downloads maliciosos. | Treinamento contínuo de phishing, filtros de e-mail internos e análise de links/ anexos suspeitos.            |
| T1153 | Source                             | Repositórios e artefatos de origem expuseram scripts que foram reutilizados pelo atacante.                   | Controlar acesso a repositórios e obrigar revisão/codificação segura antes de deploy.                         |
| T1570 | Lateral Tool Transfer              | Ferramentas foram movidas entre sistemas para propagar capacidades de exploração.                            | Restringir transferência de binários, bloquear execução de mídias removíveis e auditar cópias de ferramentas. |
| T1115 | Clipboard Data                     | Informações sensíveis foram coletadas a partir de área de transferência em estações comprometidas.           | Bloquear acessos não autorizados à API de clipboard e monitorar aplicações que leem clipboard com frequência. |
| T1125 | Video Capture                      | Captura de vídeo foi usada para registrar interações de telas sensíveis durante sessões administrativas.     | Restringir aplicações com acesso a APIs de captura e auditar o uso de dispositivos de vídeo.                  |
| T1593 | Search Open Websites/Domains       | Recursos e subdomínios expostos publicamente foram usados para localizar painéis e endpoints vulneráveis.    | Inventariar subdomínios, aplicar autenticação e WAF em painéis expostos.                                      |
| T1589 | Gather Victim Identity Information | Informações de identidade da organização foram coletadas para melhorar a qualidade do spearphish.            | Reduzir exposição pública de diretórios de pessoal e mitigar dados pessoais expostos.                         |
| T1102 | Web Service                        | Serviços web internos foram abusados para receber dados exfiltrados e executar callbacks.                    | Validar endpoints, aplicar autenticação forte e monitorar padrões incomuns de upload.                         |
| T1568 | Dynamic Resolution                 | O atacante usou resolução dinâmica de nomes para rotacionar destinos de comando.                             | Monitorar padrões DNS e restringir resoluções para domínios de baixa reputação.                               |
| T1563 | Remote Service Session Hijacking   | Sessões remotas foram sequestradas para assumir controle de sessões já autenticadas.                         | Enforce session timeouts, MFA para sessões administrativas e monitorar sessão hijacking indicators.           |
