| ID    | Nome                                  | Descrição                                                                                              | Correção                                                                                                             |
| ----- | ------------------------------------- | ------------------------------------------------------------------------------------------------------ | -------------------------------------------------------------------------------------------------------------------- |
| T1595 | Active Scanning                       | A aplicação foi mapeada por meio de varredura de diretórios e subdomínios expostos.                    | Utilizar WAF, restringir endpoints administrativos e implementar escaneamento contínuo de ativos expostos.           |
| T1552 | Unsecured Credentials                 | Tokens e chaves sensíveis foram encontradas em arquivos `.env` e logs acessíveis publicamente.         | Implementar DLP, configurar CloudTrail para alertas de vazamento e criptografar variáveis de ambiente.               |
| T1078 | Valid Accounts                        | Acesso obtido com chaves AWS válidas extraídas de arquivos da aplicação.                               | Rotacionar chaves periodicamente, aplicar políticas de menor privilégio e alertar uso de credenciais fora de padrão. |
| T1114 | Email Collection                      | Scripts de backup coletavam e armazenavam e-mails e notificações internas do sistema.                  | Evitar log de informações sensíveis em backups e configurar criptografia e segregação de dados.                      |
| T1104 | Multiband Communication               | O agente C2 utilizava comunicação alternada entre HTTPS e ICMP para evadir detecção.                   | Monitorar tráfego incomum (ICMP com payloads) e aplicar segmentação em regras de firewall internas.                  |
| T1571 | Non-Standard Port                     | A comunicação do C2 foi estabelecida por meio de porta 8443, não usada normalmente pela aplicação.     | Bloquear portas não utilizadas, aplicar regras de inspeção profunda em saídas.                                       |
| T1090 | Proxy                                 | ngrok foi utilizado para encobrir a origem do tráfego ofensivo.                                        | Monitorar conexões externas persistentes, identificar domínios associados a ferramentas de proxy reverso.            |
| T1074 | Data Staged                           | Os dados coletados (scripts, configs e chaves) foram armazenados temporariamente antes da exfiltração. | Monitorar uso de diretórios temporários e compressões de arquivos não comuns a processos legítimos.                  |
| T1484 | Domain or Tenant Policy Modification  | O atacante alterou permissões de roles IAM e se adicionou como administrador.                          | Monitorar mudanças em políticas com CloudTrail e ativar alertas para mudanças administrativas.                       |
| T1550 | Use Alternate Authentication Material | O atacante utilizou STS para obter tokens temporários com privilégios elevados.                        | Implementar tempo de vida reduzido para tokens STS e alertar uso em regiões fora do padrão organizacional.           |
