| ID    | Nome                             | Descrição                                                                                                                            | Correção                                                                                                                                            |
| ----- | -------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------ | --------------------------------------------------------------------------------------------------------------------------------------------------- |
| T1591 | Gather Victim Org Information    | Informações sobre a estrutura da empresa foram coletadas em fontes públicas como LinkedIn, GitHub e sites de vagas.                  | Restringir exposição de informações sensíveis em perfis públicos corporativos e conscientizar os colaboradores sobre riscos de engenharia social.   |
| T1593 | Search Open Websites/Domains     | O atacante utilizou ferramentas como Shodan e SecurityTrails para descobrir subdomínios e serviços em execução expostos na internet. | Monitorar exposição de subdomínios e implementar controles de acesso mais rígidos em serviços como webmail.                                         |
| T1566 | Spearphishing Link               | Foi enviada uma mensagem direcionada com link malicioso que redirecionava para uma página falsa de login do portal corporativo.      | Implantar filtros avançados de e-mail, autenticação multifator, e treinamento recorrente de usuários sobre phishing.                                |
| T1600 | Acquire Access                   | O atacante obteve acesso inicial ao ambiente após o envio bem-sucedido de phishing e captura de credenciais.                         | Fortalecer autenticação com MFA e detecção de anomalias de login, além de alertas para logins fora do horário comum ou de geolocalizações incomuns. |
| T1069 | Permission Groups Discovery      | A ferramenta BloodHound foi utilizada para mapear grupos privilegiados, incluindo Domain Admins.                                     | Aplicar princípio do menor privilégio e auditar periodicamente grupos de permissões críticas.                                                       |
| T1518 | Software Discovery               | O atacante identificou softwares de segurança instalados nos sistemas da organização após acesso à rede interna.                     | Implementar EDRs com proteção contra enumeração e monitoramento de execução de ferramentas como PowerView e SharpHound.                             |
| T1007 | System Service Discovery         | A enumeração via WMI revelou serviços em execução e pontos de fragilidade no sistema operacional.                                    | Restringir acesso a WMI remoto, aplicar hardening e auditorias em serviços expostos.                                                                |
| T1135 | Network Share Discovery          | Utilizando `net view` e scripts PowerShell, o atacante listou diretórios compartilhados com acesso amplo.                            | Aplicar ACLs restritivas em compartilhamentos de rede e implementar segmentação de recursos.                                                        |
| T1555 | Credentials from Password Stores | O atacante explorou contas de serviço com senhas fracas ou reutilizadas após enumerar os sistemas com acesso administrativo.         | Utilizar gerenciamento seguro de senhas, rotatividade periódica, e evitar reutilização de credenciais entre serviços e servidores.                  |
